name,mean,std
IQL-halfcheetah-medium-Minari_normalized_score,92.7779,0.569
IQL-halfcheetah-expert-Minari_normalized_score,104.6567,0.4813
IQL-halfcheetah-simple-Minari_normalized_score,44.7405,0.452
IQL-walker2d-expert-Minari_normalized_score,100.31,0.226
IQL-walker2d-medium-Minari_normalized_score,89.3173,0.6121
IQL-walker2d-simple-Minari_normalized_score,61.4221,2.5675
IQL-hopper-expert-Minari_normalized_score,91.9612,2.1983
IQL-hopper-simple-Minari_normalized_score,70.6253,0.3523
IQL-hopper-medium-Minari_normalized_score,81.3268,1.7253
IQL-walker2d-simple--ndlinear-Minari_normalized_score,61.4221,2.5675
IQL-halfcheetah-medium--ndlinear-Minari_normalized_score,92.7779,0.569
IQL-hopper-simple--ndlinear-Minari_normalized_score,70.6253,0.3523
IQL-walker2d-expert--ndlinear-Minari_normalized_score,100.31,0.226
IQL-hopper-expert--ndlinear-Minari_normalized_score,91.9612,2.1983
IQL-walker2d-medium--ndlinear-Minari_normalized_score,89.3173,0.6121
IQL-halfcheetah-simple--ndlinear-Minari_normalized_score,44.7405,0.452
IQL-halfcheetah-expert--ndlinear-Minari_normalized_score,104.6567,0.4813
IQL-hopper-medium--ndlinear-Minari_normalized_score,81.3268,1.7253
AWAC-walker2d--expert--ndlinear-Minari_normalized_score,99.0002,0.5656
AWAC-walker2d--medium--ndlinear-Minari_normalized_score,88.6929,0.5278
AWAC-walker2d--simple--ndlinear-Minari_normalized_score,59.4246,1.063
AWAC-halfcheetah--expert--ndlinear-Minari_normalized_score,100.7074,3.4667
AWAC-halfcheetah--medium--ndlinear-Minari_normalized_score,93.0978,0.3802
AWAC-halfcheetah--simple--ndlinear-Minari_normalized_score,45.0295,0.4677
AWAC-hopper--expert--ndlinear-Minari_normalized_score,94.9224,1.458
AWAC-hopper--medium--ndlinear-Minari_normalized_score,80.8379,0.8626
AWAC-hopper--simple--ndlinear-Minari_normalized_score,71.2396,0.2503
BC_1.0-walker2d-simple--ndlinear-Minari_normalized_score,60.734,0.7473
BC_1.0-halfcheetah-medium--ndlinear-Minari_normalized_score,93.4712,0.5375
BC_1.0-walker2d-expert--ndlinear-Minari_normalized_score,99.901,0.2119
BC_1.0-hopper-simple--ndlinear-Minari_normalized_score,70.8811,0.3522
BC_1.0-hopper-expert--ndlinear-Minari_normalized_score,94.6068,1.6579
BC_1.0-walker2d-medium--ndlinear-Minari_normalized_score,89.4136,0.4912
BC_1.0-halfcheetah-simple--ndlinear-Minari_normalized_score,44.3267,0.4384
BC_1.0-halfcheetah-expert--ndlinear-Minari_normalized_score,103.1721,0.3908
BC_1.0-hopper-medium--ndlinear-Minari_normalized_score,81.2122,0.8336
BC_1.0-walker2d-expert-Minari_normalized_score,99.901,0.2119
BC_1.0-walker2d-medium-Minari_normalized_score,89.4136,0.4912
BC_1.0-walker2d-simple-Minari_normalized_score,60.734,0.7473
BC_1.0-halfcheetah-expert-Minari_normalized_score,103.1721,0.3908
BC_1.0-halfcheetah-medium-Minari_normalized_score,93.4712,0.5375
BC_1.0-halfcheetah-simple-Minari_normalized_score,44.3267,0.4384
BC_1.0-hopper-expert-Minari_normalized_score,94.6068,1.6579
BC_1.0-hopper-medium-Minari_normalized_score,81.2122,0.8336
BC_1.0-hopper-simple-Minari_normalized_score,70.8811,0.3522
rebrac_walker2d_simple-eval/normalized_score_mean,60.6496,0.7078
rebrac_hopper_simple-eval/normalized_score_mean,70.7686,0.2417
rebrac_hopper_medium-eval/normalized_score_mean,81.6292,1.3453
rebrac_walker2d_medium-eval/normalized_score_mean,88.8368,0.5274
rebrac_halfcheetah_simple-eval/normalized_score_mean,44.3378,0.5442
rebrac_hopper_expert-eval/normalized_score_mean,94.5869,1.1691
rebrac_halfcheetah_expert-eval/normalized_score_mean,103.2739,0.2287
rebrac_walker2d_expert-eval/normalized_score_mean,99.874,0.2625
rebrac_halfcheetah_medium-eval/normalized_score_mean,92.8586,0.4309
BC_0.1-hopper-expert-Minari_normalized_score,95.9341,0.9515
BC_0.1-hopper-medium-Minari_normalized_score,80.8497,0.9837
BC_0.1-hopper-simple-Minari_normalized_score,70.9248,0.1665
BC_0.1-halfcheetah-expert-Minari_normalized_score,59.1121,47.0944
BC_0.1-halfcheetah-medium-Minari_normalized_score,88.5679,4.4413
BC_0.1-halfcheetah-simple-Minari_normalized_score,44.1307,0.5804
BC_0.1-walker2d-expert-Minari_normalized_score,100.1616,0.2033
BC_0.1-walker2d-medium-Minari_normalized_score,89.7334,0.4368
BC_0.1-walker2d-simple-Minari_normalized_score,60.9238,0.6373
